compound	component	position	totalComponents
BusinessInformationAccess	Information	1	3
BusinessInformationAccess	Access	2	3
ReusableServiceComponents	Reusable	0	3
ReusableServiceComponents	Service	1	3
ReusableServiceComponents	Components	2	3
EmergingTechnologyCapabilities	Emerging	0	3
EmergingTechnologyCapabilities	Technology	1	3
EmergingTechnologyCapabilities	Capabilities	2	3
DeploymentProcedureWorkflow	Deployment	0	3
DeploymentProcedureWorkflow	Procedure	1	3
DeploymentProcedureWorkflow	Workflow	2	3
UserTestingResources	User	0	3
UserTestingResources	Testing	1	3
UserTestingResources	Resources	2	3
ItTraining	It	0	2
ItTraining	Training	1	2
DeploymentSchedule	Deployment	0	2
DeploymentSchedule	Schedule	1	2
RolloutIssues	Rollout	0	2
RolloutIssues	Issues	1	2
ServiceDeliveryStrategy	Service	0	3
ServiceDeliveryStrategy	Delivery	1	3
ServiceDeliveryStrategy	Strategy	2	3
ItServiceDelivery	It	0	3
ItServiceDelivery	Service	1	3
ItServiceDelivery	Delivery	2	3
ItServiceDeliveryModel	It	0	4
ItServiceDeliveryModel	Service	1	4
ItServiceDeliveryModel	Delivery	2	4
ItServiceDeliveryModel	Model	3	4
ServiceSupportStrategy	Service	0	3
ServiceSupportStrategy	Support	1	3
ServiceSupportStrategy	Strategy	2	3
ItSupportModel	It	0	3
ItSupportModel	Support	1	3
ItSupportModel	Model	2	3
ServiceDeliveryControl	Service	0	3
ServiceDeliveryControl	Delivery	1	3
ServiceDeliveryControl	Control	2	3
BackupArchiveActivities	Backup	0	3
BackupArchiveActivities	Archive	1	3
BackupArchiveActivities	Activities	2	3
InfrastructureResourcePlanning	Infrastructure	0	3
InfrastructureResourcePlanning	Resource	1	3
InfrastructureResourcePlanning	Planning	2	3
ItLicenseUsageVolumes	It	0	4
ItLicenseUsageVolumes	License	1	4
ItLicenseUsageVolumes	Usage	2	4
ItLicenseUsageVolumes	Volumes	3	4
ServiceDeliveryOperations	Service	0	3
ServiceDeliveryOperations	Delivery	1	3
ServiceDeliveryOperations	Operations	2	3
OnlineSystems	Online	0	2
OnlineSystems	Systems	1	2
ItIssues	It	0	2
ItIssues	Issues	1	2
BudgetPoliciesProcedures	Budget	0	3
BudgetPoliciesProcedures	Policies	1	3
BudgetPoliciesProcedures	Procedures	2	3
NewAccountApplications	New	0	3
NewAccountApplications	Account	1	3
NewAccountApplications	Applications	2	3
InternalParties	Internal	0	2
InternalParties	Parties	1	2
GeneralAccounting	General	0	2
GeneralAccounting	Accounting	1	2
ManagementAdjustments	Management	0	2
ManagementAdjustments	Adjustments	1	2
DepreciationExpense	Depreciation	0	2
DepreciationExpense	Expense	1	2
CapitalExpenditurePlansBudgets	Capital	0	4
CapitalExpenditurePlansBudgets	Expenditure	1	4
CapitalExpenditurePlansBudgets	Plans	2	4
CapitalExpenditurePlansBudgets	Budgets	3	4
CapitalProjectsBudgetSpending	Capital	0	4
CapitalProjectsBudgetSpending	Projects	1	4
CapitalProjectsBudgetSpending	Budget	2	4
CapitalProjectsBudgetSpending	Spending	3	4
PaidUnpaidLeave	Paid	0	3
PaidUnpaidLeave	Unpaid	1	3
PaidUnpaidLeave	Leave	2	3
EmployeeUtilization	Employee	0	2
EmployeeUtilization	Utilization	1	2
EmployeeEarningsInformation	Employee	0	3
EmployeeEarningsInformation	Earnings	1	3
EmployeeEarningsInformation	Information	2	3
ApplicableDeductions	Applicable	0	2
ApplicableDeductions	Deductions	1	2
ManualChecks	Manual	0	2
ManualChecks	Checks	1	2
ApplicablePayrollTaxes	Applicable	0	3
ApplicablePayrollTaxes	Payroll	1	3
ApplicablePayrollTaxes	Taxes	2	3
EmployeeAnnualTaxStatements	Employee	0	4
EmployeeAnnualTaxStatements	Annual	1	4
EmployeeAnnualTaxStatements	Tax	2	4
EmployeeAnnualTaxStatements	Statements	3	4
ExpenseReimbursements	Expense	0	2
ExpenseReimbursements	Reimbursements	1	2
ElectronicCommerce	Electronic	0	2
ElectronicCommerce	Commerce	1	2
ApSystem	Ap	0	2
ApSystem	System	1	2
ExpenseReimbursementPoliciesApprovalLimits	Expense	0	5
ExpenseReimbursementPoliciesApprovalLimits	Reimbursement	1	5
ExpenseReimbursementPoliciesApprovalLimits	Policies	2	5
