id	name	description	code
AlignmentJigs	Alignment jigs	Alignment jigs	23153017
AlignmentLasers	Alignment lasers	Alignment lasers	41111615
AlignmentMachines	Alignment machines	Alignment machines	25191702
AlignmentScopes	Alignment scopes	Alignment scopes	41111713
AlignmentSquares	Alignment squares	Alignment squares	27111803
AlignmentStands	Alignment stands	Alignment stands	23153017
AlignmentTelescopes	Alignment telescopes	Alignment telescopes	41111715
AlignmentTools	Alignment tools	Alignment tools	27113204
AlignmentWrenches	Alignment wrenches	Alignment wrenches	27111714
AliquotTubes	Aliquot tubes	Aliquot tubes	41104108
AllenWrenches	Allen wrenches	Allen wrenches	27111710
AllenWrenchSets	Allen wrench sets	Allen wrench sets	27111763
AlligatorForceps	Alligator forceps	Alligator forceps	42291802
AlligatorJawCompressionRiveters	Alligator jaw compression riveters	Alligator jaw compression riveters	27112402
AllisClamps	Allis clamps	Allis clamps	42291802
AllisForceps	Allis forceps	Allis forceps	42291802
AllPurposeScissors	All-purpose scissors	All-purpose scissors	44121618
AllPurposeSnips	All-purpose snips	All-purpose snips	27111519
AllTerrainCranes	All-terrain cranes	All-terrain cranes	24101621
AllTerrainVacuums	All-terrain vacuums	All-terrain vacuums	47121602
AllTerrainVehicleAtvDiscs	All terrain vehicle ATV discs	All terrain vehicle ATV discs	21101513
AllTerrainVehicleAtvHarrows	All terrain vehicle ATV harrows	All terrain vehicle ATV harrows	21101502
AllTerrainVehicleAtvManureSpreaders	All terrain vehicle ATV manure spreaders	All terrain vehicle ATV manure spreaders	21101804
AllTerrainVehicleAtvPlows	All terrain vehicle ATV plows	All terrain vehicle ATV plows	21101501
