url	ns	type	id	name	description	code	domainIncludes	rangeIncludes	sourceUrl
https://schema.org.ai/headline	schema.org.ai	Property	headline	headline	Headline of the article.	headline	CreativeWork	Text	headline
https://schema.org.ai/healthPlanCoinsuranceRate	schema.org.ai	Property	healthPlanCoinsuranceRate	healthPlanCoinsuranceRate	The rate of coinsurance expressed as a number between 0.0 and 1.0.	healthPlanCoinsuranceRate	HealthPlanCostSharingSpecification	Number	healthPlanCoinsuranceRate
https://schema.org.ai/endOffset	schema.org.ai	Property	endOffset	endOffset	The end time of the clip expressed as the number of seconds from the beginning of the work.	endOffset	Clip	HyperTocEntry,Number	endOffset
https://schema.org.ai/measurementQualifier	schema.org.ai	Property	measurementQualifier	measurementQualifier	Provides additional qualification to an observation. For example, a GDP observation measures the Nominal value.	measurementQualifier	StatisticalVariable,Observation	Enumeration	measurementQualifier
https://schema.org.ai/additionalType	schema.org.ai	Property	additionalType	additionalType	An additional type for the item, typically used for adding more specific types from external vocabularies in microdata syntax. This is a relationship between something and a class that the thing is in. Typically the value is a URI-identified RDF class, and in this case corresponds to the     use of rdf:type in RDF. Text values can be used sparingly, for cases where useful information can be added without their being an appropriate schema to reference. In the case of text values, the class label should follow the schema.org <a href="https://schema.org/docs/styleguide.html">style guide</a>.	additionalType	Thing	Text,URL	additionalType
https://schema.org.ai/toLocation	schema.org.ai	Property	toLocation	toLocation	A sub property of location. The final location of the object or the agent after the action.	toLocation	MoveAction,InsertAction,TransferAction,ExerciseAction	Place	toLocation
https://schema.org.ai/seatingType	schema.org.ai	Property	seatingType	seatingType	The type/class of the seat.	seatingType	Seat	Text,QualitativeValue	seatingType
https://schema.org.ai/winner	schema.org.ai	Property	winner	winner	A sub property of participant. The winner of the action.	winner	LoseAction	Person	winner
https://schema.org.ai/jobBenefits	schema.org.ai	Property	jobBenefits	jobBenefits	Description of benefits associated with the job.	jobBenefits	JobPosting	Text	jobBenefits
https://schema.org.ai/programName	schema.org.ai	Property	programName	programName	The program providing the membership. It is preferable to use [:program](https://schema.org/program) instead.	programName	ProgramMembership	Text	programName
https://schema.org.ai/aggregateElement	schema.org.ai	Property	aggregateElement	aggregateElement	Indicates a prototype of the elements in the list that is used to hold aggregate information (ratings, offers, etc.).	aggregateElement	ItemList	Thing	aggregateElement
https://schema.org.ai/box	schema.org.ai	Property	box	box	A box is the area enclosed by the rectangle formed by two points. The first point is the lower corner, the second point is the upper corner. A box is expressed as two points separated by a space character.	box	GeoShape	Text	box
https://schema.org.ai/geo	schema.org.ai	Property	geo	geo	The geo coordinates of the place.	geo	Place	GeoShape,GeoCoordinates	geo
https://schema.org.ai/targetProduct	schema.org.ai	Property	targetProduct	targetProduct	Target Operating System / Product to which the code applies.  If applies to several versions, just the product name can be used.	targetProduct	SoftwareSourceCode	SoftwareApplication	targetProduct
https://schema.org.ai/fileFormat	schema.org.ai	Property	fileFormat	fileFormat	Media type, typically MIME format (see [IANA site](http://www.iana.org/assignments/media-types/media-types.xhtml)) of the content, e.g. application/zip of a SoftwareApplication binary. In cases where a CreativeWork has several media type representations, 'encoding' can be used to indicate each MediaObject alongside particular fileFormat information. Unregistered or niche file formats can be indicated instead via the most appropriate URL, e.g. defining Web page or a Wikipedia entry.	fileFormat	CreativeWork	Text,URL	fileFormat
https://schema.org.ai/serviceOperator	schema.org.ai	Property	serviceOperator	serviceOperator	The operating organization, if different from the provider.  This enables the representation of services that are provided by an organization, but operated by another organization like a subcontractor.	serviceOperator	GovernmentService	Organization	serviceOperator
https://schema.org.ai/isrcCode	schema.org.ai	Property	isrcCode	isrcCode	The International Standard Recording Code for the recording.	isrcCode	MusicRecording	Text	isrcCode
https://schema.org.ai/startDate	schema.org.ai	Property	startDate	startDate	The start date and time of the item (in [ISO 8601 date format](http://en.wikipedia.org/wiki/ISO_8601)).	startDate	MerchantReturnPolicySeasonalOverride,Event,Schedule,CreativeWorkSeries,DatedMoneySpecification,CreativeWorkSeason,Role,EducationalOccupationalProgram	Date,DateTime	startDate
https://schema.org.ai/beforeMedia	schema.org.ai	Property	beforeMedia	beforeMedia	A media object representing the circumstances before performing this direction.	beforeMedia	HowToDirection	MediaObject,URL	beforeMedia
https://schema.org.ai/affiliation	schema.org.ai	Property	affiliation	affiliation	An organization that this person is affiliated with. For example, a school/university, a club, or a team.	affiliation	Person	Organization	affiliation
https://schema.org.ai/nerveMotor	schema.org.ai	Property	nerveMotor	nerveMotor	The neurological pathway extension that involves muscle control.	nerveMotor	Nerve	Muscle	nerveMotor
https://schema.org.ai/legislationDate	schema.org.ai	Property	legislationDate	legislationDate	The date of adoption or signature of the legislation. This is the date at which the text is officially aknowledged to be a legislation, even though it might not even be published or in force.	legislationDate	Legislation	Date	legislationDate
https://schema.org.ai/areaServed	schema.org.ai	Property	areaServed	areaServed	The geographic area where a service or offered item is provided.	areaServed	DeliveryChargeSpecification,Organization,FinancialIncentive,Demand,Service,ContactPoint,Offer	GeoShape,Text,AdministrativeArea,Place	areaServed
https://schema.org.ai/howPerformed	schema.org.ai	Property	howPerformed	howPerformed	How the procedure is performed.	howPerformed	MedicalProcedure	Text	howPerformed
https://schema.org.ai/workFeatured	schema.org.ai	Property	workFeatured	workFeatured	A work featured in some event, e.g. exhibited in an ExhibitionEvent.        Specific subproperties are available for workPerformed (e.g. a play), or a workPresented (a Movie at a ScreeningEvent).	workFeatured	Event	CreativeWork	workFeatured
