apiId	actionId
ClosemApi	AddContactCampaign
Mailrush.ioApi	AddContactCampaignId
DelivraApi	AddContactCategory
QpageApi	AddContactCohort
SuperchatApi	AddContactContactList
StriveApi	AddContactContactList
MagileadsApi	AddContactContactList
SocialglowApi	AddContactCourse
WequoteApi	AddContactCustomer
Rev.ioApi	AddContactCustomer
GoogleAdsApi	AddContactCustomerList
GoogleAdsApi	AddContactCustomerList
GoogleAdsApi	AddContactCustomerList
MicrosoftAdvertisingApi	AddContactCustomerList
GoogleAdsApi	AddContactCustomerListEmail
GoogleAdsApi	AddContactCustomerListEmail
GoogleAdsApi	AddContactCustomerListEmail
ManycontactsApi	AddContactCustomField
IpostApi	AddContactDatatable
HubspotApi	AddContactDeal
AdviserlogicFactFinderApi	AddContactDetails
ActApi	AddContactDirectSelectSegmentAllContacts
AllswersApi	AddContactDistribution
DistrobirdApi	AddContactDnc
Bombbomb.comApi	AddContactDrip
366DegreesApi	AddContactDrip
SkipioApi	AddContactDripCampaign
BoingnetApi	AddContactDripNurtureCampaign
GyftiApi	AddContactEmailCampaign
SurveymethodsApi	AddContactEmailList
TrussApi	AddContactEntity
RelateApi	AddContactEntryList
RelateApi	AddContactEntryProcess
SkipioApi	AddContactEvent
CircaApi	AddContactEvent
Exceed.aiApi	AddContactExceed.ai
MethodCrmApi	AddContactExistingEntity
GetquantyApi	AddContactExistingList
PathwayApi	AddContactFlow
EngagebayMarketingApi	AddContactForm
BirdsendApi	AddContactForm
ActivetrailApi	AddContactGroup
InforumobileApi	AddContactGroup
SkipioApi	AddContactGroup
MessagedeskApi	AddContactGroup
TextusApi	AddContactGroup
CivicrmApi	AddContactGroup
MeetHourApi	AddContactGroup
SuresmsApi	AddContactGroup
SocialglowApi	AddContactGroup
EquiitextApi	AddContactGroup
DistrobirdApi	AddContactGroup
ActivetrailApi	AddContactGroupExternalId
GoogleContactsApi	AddContactGroups
FrontApi	AddContactHandle
EveryactionApi	AddContactHistory
NgpVanApi	AddContactHistory
ReviewincApi	AddContactIntoNotifySystem
ReviewincApi	AddContactIntoReviewsSystem
SalespypeApi	AddContactLeadflow
EmeliaApi	AddContactLinkedinCampaign
HubspotApi	AddContactList
ConstantContactApi	AddContactList
TextmagicApi	AddContactList
Bombbomb.comApi	AddContactList
